,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
2100,2021-05-06,74.23,213398,136801,49453,126050,525702,827,730,17,31,1605
2101,2021-05-07,73.785,223781,147442,51512,127851,550586,883,819,17,36,1755
2102,2021-05-10,74.35,228645,151051,51161,128755,559612,925,839,18,36,1818
2103,2021-05-11,74.11,231323,153069,50597,128851,563840,928,851,18,36,1833
2104,2021-05-12,74.63,235670,156085,49247,128832,569834,959,865,18,38,1880
2105,2021-05-13,74.0775,225114,144012,49367,130469,548962,833,746,19,32,1630
2106,2021-05-14,74.0125,231507,149944,49017,130580,561048,892,828,19,37,1776
2107,2021-05-17,73.8,235308,152581,48338,131065,567292,930,852,19,37,1838
2108,2021-05-18,73.7,238050,156789,51118,132379,578336,962,873,21,38,1894
2109,2021-05-19,73.79,240086,159888,52319,132517,584810,951,891,21,38,1901
2110,2021-05-20,73.53,186832,105421,42213,123624,458090,698,665,15,30,1408
2111,2021-05-21,73.5975,193894,113278,44154,124770,476096,799,767,16,34,1616
2112,2021-05-24,73.4925,198132,117031,45140,126241,486544,831,800,16,34,1681
2113,2021-05-25,73.5,209666,124167,45696,131195,510724,846,829,16,34,1725
2114,2021-05-26,73.51,216021,130014,45722,131729,523486,862,844,16,34,1756
2115,2021-05-27,73.465,206728,121405,45512,130835,504480,738,712,15,29,1494
2116,2021-05-28,73.15,212266,127782,46139,130623,516810,792,805,15,33,1645
2117,2021-05-31,73.43,222522,140040,49590,132072,544224,832,816,16,32,1696
2118,2021-06-01,73.5075,231231,149922,53158,134467,568778,863,826,16,32,1737
2119,2021-06-02,73.16,272871,153344,53894,173421,653530,860,842,16,31,1749
2120,2021-06-03,73.24,265744,145358,63837,184223,659162,761,721,16,27,1525
2121,2021-06-04,72.795,275165,154181,65416,186400,681162,818,813,16,30,1677
2122,2021-06-07,72.81,280563,159477,66596,187682,694318,875,829,16,31,1751
2123,2021-06-08,72.3,285555,161688,71069,194936,713248,880,857,17,33,1787
2124,2021-06-09,72.305,285919,171295,94053,208677,759944,914,865,19,33,1831
2125,2021-06-10,71.77,289341,162069,92484,219756,763650,846,755,20,29,1650
2126,2021-06-11,72.13,303441,175343,110998,239096,828878,932,800,21,35,1788
2127,2021-06-14,72.1025,302112,174737,111551,238926,827326,948,807,21,35,1811
2128,2021-06-15,72.18,310533,182777,118510,246266,858086,980,811,23,35,1849
2129,2021-06-16,72.5625,319158,190106,120554,249606,879424,1004,825,23,35,1887
2130,2021-06-17,72.3225,146584,65801,24796,105579,342760,532,508,14,21,1075
2131,2021-06-18,72.85,154806,72200,25289,107895,360190,622,609,15,22,1268
2132,2021-06-21,73.1325,163057,78433,25377,110001,376868,717,651,16,23,1407
2133,2021-06-22,72.875,172750,83088,25430,115092,396360,749,672,17,24,1462
2134,2021-06-23,72.6075,148042,98078,26972,76936,350028,746,706,17,23,1492
2135,2021-06-24,72.305,133072,81839,26138,77371,318420,612,593,14,20,1239
2136,2021-06-25,72.2025,142911,90832,27001,79080,339824,689,689,15,25,1418
2137,2021-06-28,72.1175,148181,98295,30015,79901,356392,728,703,17,26,1474
2138,2021-06-29,72.76,153297,101643,30572,82226,367738,792,701,16,26,1535
2139,2021-06-30,73.135,167359,111066,30436,86729,395590,823,698,16,24,1561
2140,2021-07-01,73.4,152251,98350,35657,89558,375816,712,600,16,19,1347
2141,2021-07-02,73.24,170353,116883,38711,92181,418128,815,682,16,20,1533
2142,2021-07-05,73.46,172796,120927,40457,92326,426506,867,705,17,20,1609
2143,2021-07-06,74.4225,184727,130658,43874,97943,457202,930,710,18,19,1677
2144,2021-07-07,74.7125,201230,141055,44034,104209,490528,977,692,18,23,1710
2145,2021-07-08,74.7375,204769,137383,47710,115096,504958,871,617,17,22,1527
2146,2021-07-09,74.36,230749,164566,55965,122148,573428,885,720,17,22,1644
2147,2021-07-12,74.44,242859,169357,52783,126285,591284,951,743,17,22,1733
2148,2021-07-13,74.295,244993,172710,53841,126124,597668,950,761,16,22,1749
2149,2021-07-14,74.075,248007,174941,54619,127685,605252,952,771,17,21,1761
2150,2021-07-15,74.365,168857,97644,38665,109878,415044,615,541,16,21,1193
2151,2021-07-16,74.0725,181196,109511,39718,111403,441828,715,649,17,21,1402
2152,2021-07-19,74.65,196775,124293,41345,113827,476240,783,665,17,20,1485
2153,2021-07-20,74.37,200600,128664,41989,113925,485178,815,690,18,21,1544
2154,2021-07-21,74.015,199924,130984,44463,113403,488774,791,711,18,21,1541
2155,2021-07-22,73.7,187921,116292,44979,116608,465800,678,579,16,21,1294
2156,2021-07-23,73.76,202224,131715,46145,116654,496738,752,678,18,23,1471
2157,2021-07-26,73.65,207820,139298,49154,117676,513948,781,699,18,23,1521
2158,2021-07-27,73.7325,213073,144344,50695,119424,527536,796,716,18,24,1554
2159,2021-07-28,73.4775,221108,151084,50496,120520,543208,827,743,16,24,1610
2160,2021-07-29,73.1525,199757,126433,49150,122474,497814,688,653,15,24,1380
2161,2021-07-30,73.16,213864,137266,50753,127351,529234,735,740,16,25,1516
2162,2021-08-02,73.0575,216539,141138,52342,127743,537762,775,775,15,27,1592
2163,2021-08-03,72.94,241440,146439,53365,148366,589610,811,780,15,27,1633
2164,2021-08-04,73.17,252501,151825,55537,156213,616076,814,796,15,30,1655
2165,2021-08-05,73.07,247258,147009,54839,155088,604194,736,688,15,26,1465
2166,2021-08-06,73.49,253703,153685,56279,156297,619964,803,756,17,30,1606
2167,2021-08-09,73.665,261901,158782,55857,158976,635516,834,779,17,30,1660
2168,2021-08-10,73.9175,268600,164474,56638,160764,650476,870,775,17,31,1693
2169,2021-08-11,73.365,275117,170860,57583,161840,665400,876,787,17,35,1715
2170,2021-08-12,73.5925,262488,159091,58167,161564,641310,769,675,17,30,1491
2171,2021-08-13,73.21,266005,168332,62814,160487,657638,792,752,17,33,1594
2172,2021-08-16,73.2375,268510,171805,63729,160434,664478,824,765,17,33,1639
2173,2021-08-17,73.57,287685,178524,63247,172408,701864,844,776,17,32,1669
2174,2021-08-18,73.82,306452,180499,63906,189859,740716,842,774,19,32,1667
2175,2021-08-19,74.2,254304,128161,36396,162539,581400,700,581,17,25,1323
2176,2021-08-20,74.26,266825,144041,39696,162480,613042,799,662,18,30,1509
2177,2021-08-23,74.1225,272651,151712,40978,161917,627258,815,705,18,30,1568
2178,2021-08-24,73.73,284945,164202,54947,175690,679784,798,757,19,31,1605
2179,2021-08-25,73.9325,291938,169977,55279,177240,694434,825,775,20,31,1651
2180,2021-08-26,74.23,277817,145382,43833,176268,643300,742,641,17,26,1426
2181,2021-08-27,73.53,292838,164861,46130,174107,677936,777,735,17,30,1559
2182,2021-08-30,73.5,302962,166641,50166,186487,706256,803,770,17,28,1618
2183,2021-08-31,73.2175,302297,169978,52495,184814,709584,794,788,17,28,1627
2184,2021-09-01,72.98,314158,172698,55909,197369,740134,789,809,18,28,1644
2185,2021-09-02,72.87,300489,155920,53012,197581,707002,735,678,17,25,1455
2186,2021-09-03,72.7225,312252,160111,53411,205552,731326,773,740,17,29,1559
2187,2021-09-06,72.99,322775,166521,52603,208857,750756,794,749,18,31,1592
2188,2021-09-07,73.2725,329540,172855,52617,209302,764314,821,756,18,31,1626
2189,2021-09-08,73.1475,336493,175175,52210,213528,777406,867,762,18,31,1678
2190,2021-09-09,72.975,332515,166325,50002,216192,765034,775,691,19,27,1512
2191,2021-09-10,73.175,345158,172034,50507,223631,791330,804,744,19,31,1598
2192,2021-09-13,72.655,366457,178145,50743,239055,834400,811,769,19,31,1630
2193,2021-09-14,72.9,373446,181758,49531,241219,845954,822,771,19,31,1643
2194,2021-09-15,72.275,391014,187364,51403,255053,884834,800,763,18,31,1612
2195,2021-09-16,72.5,138875,69806,14278,83347,306306,455,477,13,17,962
2196,2021-09-17,72.8525,157677,81682,18505,94500,352364,544,583,13,20,1160
2197,2021-09-20,73.425,170008,105436,31727,96299,403470,639,624,15,21,1299
2198,2021-09-21,73.085,175809,112316,32697,96190,417012,663,659,15,21,1358
2199,2021-09-22,72.9725,181179,119232,36226,98173,434810,666,709,15,23,1413
2200,2021-09-23,72.8425,162121,101218,34597,95500,393436,539,578,15,19,1151
2201,2021-09-24,72.7225,177129,113506,36880,100503,428018,611,663,15,21,1310
2202,2021-09-27,72.53,182961,117522,42689,108128,451300,652,707,15,24,1398
2203,2021-09-28,72.795,190222,121825,43849,112246,468142,701,711,15,26,1453
2204,2021-09-29,72.84,196204,127834,44288,112658,480984,730,736,15,26,1507
2205,2021-09-30,72.735,185138,114777,47296,117657,464868,616,627,16,22,1281
2206,2021-10-01,72.73,193813,128957,53555,118411,494736,693,689,16,28,1426
2207,2021-10-04,72.51,200300,135211,53553,118642,507706,709,722,16,28,1475
2208,2021-10-05,72.37,206962,141875,54121,119208,522166,745,744,16,28,1533
2209,2021-10-06,72.39,209258,145761,57319,120816,533154,769,745,17,28,1559
2210,2021-10-07,71.7,206170,141587,57388,121971,527116,675,637,16,22,1350
2211,2021-10-08,71.875,227100,157784,50315,119631,554830,748,709,17,27,1501
2212,2021-10-11,71.865,234575,161225,51161,124511,571472,805,715,16,27,1563
2213,2021-10-12,71.805,241717,164490,51075,128302,585584,814,733,17,28,1592
2214,2021-10-13,71.97,393766,166536,51943,279173,891418,837,734,17,31,1619
2215,2021-10-14,71.345,390370,158744,49964,281590,880668,717,650,17,27,1411
2216,2021-10-15,71.025,399956,169256,56669,287369,913250,742,717,17,32,1508
2217,2021-10-18,71.2875,406632,177343,54807,284096,922878,815,734,17,33,1599
2218,2021-10-19,70.8525,427448,186904,60029,300573,974954,793,754,17,33,1597
2219,2021-10-20,70.8025,433414,191565,60746,302595,988320,815,761,17,33,1626
2220,2021-10-21,71.095,361169,114498,40839,287510,804016,623,507,17,19,1166
2221,2021-10-22,70.3375,406729,142243,48924,313410,911306,694,663,18,28,1403
2222,2021-10-25,69.71,452379,167331,48985,334033,1002728,739,708,18,28,1493
2223,2021-10-26,69.5025,476192,184584,52702,344310,1057788,772,718,18,29,1537
2224,2021-10-27,70.6425,512684,203883,53857,362658,1133082,848,722,19,29,1618
2225,2021-10-28,70.2025,468129,153481,51210,365858,1038678,762,581,18,22,1383
2226,2021-10-29,70.955,481521,165451,51453,367523,1065948,834,663,18,28,1543
2227,2021-11-01,71.56,503868,185520,51020,369368,1109776,904,693,18,29,1644
2228,2021-11-02,71.5025,521129,200620,55104,375613,1152466,962,695,21,30,1708
2229,2021-11-03,71.73,507910,181875,59259,385294,1134338,825,612,20,24,1481
2230,2021-11-05,71.255,521288,199485,62751,384554,1168078,874,736,21,29,1660
2231,2021-11-08,71.2025,526097,209180,69497,386414,1191188,924,761,20,31,1736
2232,2021-11-09,70.755,529594,212871,72814,389537,1204816,913,791,20,32,1756
2233,2021-11-10,71.3,538632,210047,63796,392381,1204856,932,796,20,32,1780
2234,2021-11-11,71.63,513090,184797,62612,390905,1151404,862,635,20,25,1542
2235,2021-11-12,72.8875,552096,201974,68509,418631,1241210,992,678,21,28,1719
2236,2021-11-15,72.5,576475,219930,67609,424154,1288168,1039,720,22,28,1809
2237,2021-11-16,73.13,622222,243989,74614,452847,1393672,1091,726,22,29,1868
2238,2021-11-17,72.5,625984,249873,78679,454790,1409326,1072,762,22,30,1886
2239,2021-11-18,73.05,481988,153717,56228,384499,1076432,867,560,21,22,1470
2240,2021-11-19,73.445,506305,172357,56076,390024,1124762,960,696,22,27,1705
2241,2021-11-22,74.82,544686,185843,56002,414845,1201376,1155,694,22,28,1899
2242,2021-11-23,74.27,564013,193019,51941,422935,1231908,1272,708,23,30,2033
2243,2021-11-24,74.99,564336,194440,51775,421671,1232222,1310,728,24,31,2093
2244,2021-11-25,74.68,524487,159545,49539,414481,1148052,1089,553,22,25,1689
2245,2021-11-26,75.605,547040,173645,48683,422078,1191446,1192,639,22,29,1882
2246,2021-11-29,74.6,568733,194928,53127,426932,1243720,1154,700,22,29,1905
2247,2021-11-30,74.065,566985,196080,52711,423616,1239392,1167,737,23,30,1957
2248,2021-12-01,74.2775,575057,209456,54413,420014,1258940,1141,774,22,30,1967
2249,2021-12-02,73.64,557587,188453,52792,421926,1220758,1014,633,23,24,1694
2250,2021-12-03,73.8325,575802,201124,52254,426932,1256112,1080,717,24,30,1851
2251,2021-12-06,74.31,580083,204027,52043,428099,1264252,1126,749,24,31,1930
2252,2021-12-07,74.06,595209,216514,54700,433395,1299818,1188,778,24,31,2021
2253,2021-12-08,73.5875,591048,217026,56915,430937,1295926,1155,791,24,31,2001
2254,2021-12-09,73.685,567766,194055,53022,426733,1241576,1036,662,24,25,1747
2255,2021-12-10,73.3725,572162,202750,53923,423335,1252170,1075,751,23,30,1879
2256,2021-12-13,73.4975,575942,205844,54497,424595,1260878,1069,770,23,31,1893
2257,2021-12-14,73.8,590236,208495,54728,436469,1289928,1091,787,23,31,1932
2258,2021-12-15,73.71,678185,211584,54409,521010,1465188,1113,765,23,31,1932
2259,2021-12-16,73.7525,380052,67706,21118,333464,802340,560,389,16,21,986
2260,2021-12-17,74.13,396316,83552,24728,337492,842088,721,508,15,22,1266
2261,2021-12-20,74.145,418705,99328,27007,346384,891424,782,608,15,22,1427
2262,2021-12-21,73.9525,438584,114192,28392,352784,933952,797,650,15,22,1484
2263,2021-12-22,73.74,454222,121717,28535,361040,965514,808,692,15,21,1536
2264,2021-12-23,73.3,423625,89787,65135,398973,977520,640,524,16,19,1199
2265,2021-12-24,73.65,439854,103424,70494,406924,1020696,713,635,16,20,1384
2266,2021-12-27,73.4325,447191,113131,75908,409968,1046198,732,670,17,23,1442
2267,2021-12-28,73.7175,475876,117486,77567,435957,1106886,760,683,17,23,1483
2268,2021-12-29,73.9925,490815,131280,82153,441688,1145936,783,688,18,25,1514
2269,2021-12-30,74.68,479530,114874,79533,444189,1118126,729,533,19,25,1306
2270,2022-01-03,74.5425,490961,128148,81178,443991,1144278,800,649,20,25,1494
2271,2022-01-04,75.3625,497870,135723,82767,444914,1161274,911,648,20,24,1603
2272,2022-01-05,76.8,510605,147075,83798,447328,1188806,989,665,20,25,1699
2273,2022-01-06,76.3175,519004,158807,86934,447131,1211876,990,552,20,23,1585
2274,2022-01-07,75.75,528992,169238,87388,447142,1232760,979,678,21,24,1702
