,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
288,2014-02-28,35.886,94880,131199,172857,136538,535474,691,880,145,161,1877
289,2014-03-03,36.51,93852,121564,161873,134161,511450,698,828,137,167,1830
290,2014-03-04,36.065,96250,115533,159470,140187,511440,719,829,142,161,1851
291,2014-03-05,36.0435,98761,112903,158673,144531,514868,735,832,146,164,1877
292,2014-03-06,36.1365,99525,105783,158242,151984,515534,733,828,149,166,1876
293,2014-03-07,36.4695,99655,102164,158542,156033,516394,745,831,148,173,1897
294,2014-03-11,36.5,98957,100789,158352,156520,514618,738,820,146,172,1876
295,2014-03-12,36.5,96760,100094,161670,158336,516860,743,826,142,176,1887
296,2014-03-13,36.6085,95487,101412,160152,154227,511278,747,839,138,173,1897
297,2014-03-14,36.597,90506,105124,158829,144211,498670,751,844,139,173,1907
298,2014-03-17,36.33,19976,23603,18900,15273,77752,250,243,59,55,607
299,2014-03-18,36.2205,22342,25412,23066,19996,90816,278,284,75,58,695
300,2014-03-19,36.136,28036,31214,23907,20729,103886,316,322,76,64,778
301,2014-03-20,36.38,29777,32703,24444,21518,108442,337,339,74,66,816
302,2014-03-21,36.2595,30151,33485,24908,21574,110118,350,363,74,67,854
303,2014-03-24,36.052,33200,38357,27233,22076,120866,366,377,80,68,891
304,2014-03-25,35.56,37182,43468,29527,23241,133418,397,413,85,71,966
305,2014-03-26,35.53,39058,48420,34292,24930,146700,432,429,100,78,1039
306,2014-03-27,35.5905,41951,51057,35005,25899,153912,448,454,97,82,1081
307,2014-03-28,35.78,42646,52216,35185,25615,155662,451,468,98,82,1099
308,2014-03-31,35.12,44427,56570,35946,23803,160746,501,478,96,84,1159
309,2014-04-01,35.0995,48053,61262,36774,23565,169654,540,501,101,90,1232
310,2014-04-02,35.418,48386,62951,37820,23255,172412,552,535,105,97,1289
311,2014-04-03,35.5,48526,63898,40289,24917,177630,557,547,120,105,1329
312,2014-04-04,35.3,49169,64753,41560,25976,181458,566,553,122,106,1347
313,2014-04-07,35.642,50728,66828,43251,27151,187958,568,573,124,112,1377
314,2014-04-08,35.6805,52616,67936,43871,28551,192974,578,583,126,113,1400
315,2014-04-09,35.642,53754,67757,43283,29280,194074,585,579,125,115,1404
316,2014-04-10,35.57,53232,67497,43392,29127,193248,590,587,124,114,1415
317,2014-04-11,35.645,53481,67294,44156,30343,195274,598,591,125,114,1428
318,2014-04-14,35.9845,54909,69225,45266,30950,200350,600,599,126,110,1435
319,2014-04-15,36.1925,32685,45322,36673,24036,138716,344,331,93,82,850
320,2014-04-16,35.9885,35639,52708,42326,25257,155930,383,376,99,87,945
321,2014-04-17,35.46,36549,54415,45092,27226,163282,404,402,100,89,995
322,2014-04-18,35.6105,39573,58194,46266,27645,171678,425,444,103,92,1064
323,2014-04-21,35.7265,41371,59771,46480,28080,175702,435,457,103,92,1087
324,2014-04-22,35.699,43850,61833,48134,30151,183968,444,468,104,96,1112
325,2014-04-23,35.6755,44077,63337,49411,30151,186976,456,473,106,98,1133
326,2014-04-24,35.772,46865,67295,52557,32127,198844,470,488,102,100,1160
327,2014-04-25,36.0285,45178,68227,56337,33288,203030,463,502,103,104,1172
328,2014-04-28,35.821,45937,69273,59739,36403,211352,471,508,102,105,1186
329,2014-04-29,35.602,45576,71296,62065,36345,215282,481,528,113,99,1221
330,2014-04-30,35.63,46075,72011,63068,37132,218286,484,541,116,98,1239
331,2014-05-02,35.8735,47074,72355,63665,38384,221478,489,553,118,99,1259
332,2014-05-05,35.7195,47331,72704,63831,38458,222324,491,556,118,102,1267
333,2014-05-06,35.41,47643,75158,65025,37510,225336,497,553,119,102,1271
334,2014-05-07,34.9295,49335,78621,69123,39837,236916,527,564,129,102,1322
335,2014-05-08,35.04,51307,80181,70422,41548,243458,554,581,131,103,1369
336,2014-05-12,35.0425,51689,81464,70850,41075,245078,569,588,133,104,1394
337,2014-05-13,34.8525,51999,82942,72729,41786,249456,597,606,143,104,1450
338,2014-05-14,34.72,54540,83335,74132,45337,257344,630,627,145,108,1510
339,2014-05-15,34.75,39158,60110,62053,41101,202422,458,411,119,86,1074
340,2014-05-16,34.77,39962,62220,63835,41577,207594,487,452,121,89,1149
341,2014-05-19,34.5655,47503,66261,64148,45390,223302,531,474,122,97,1224
342,2014-05-20,34.5215,48894,68647,65787,46034,229362,558,505,125,97,1285
343,2014-05-21,34.345,49987,69202,67441,48226,234856,580,509,127,103,1319
344,2014-05-22,34.3195,58142,72226,67695,53611,251674,636,505,125,111,1377
345,2014-05-23,34.17,61266,72957,70391,58700,263314,671,517,129,121,1438
346,2014-05-26,34.2035,62571,72291,70156,60436,265454,699,530,130,127,1486
347,2014-05-27,34.406,63901,71955,70612,62558,269026,702,545,135,136,1518
348,2014-05-28,34.5615,64050,71998,70806,62858,269712,704,553,132,138,1527
349,2014-05-29,34.658,62449,73860,75121,63710,275140,694,568,130,141,1533
