,date_kotirovki,close,PhysicalLong,PhysicalShort,JuridicalLong,JuridicalShort,putov_summa,PhysicalLong_liza,PhysicalShort_liza,JuridicalLong_liza,JuridicalShort_liza,putov_summa_liza
2150,2021-07-15,74.365,652320,412016,927501,1167805,3159642,14610,8014,227,154,23005
2151,2021-07-16,74.0725,776495,362241,828369,1242623,3209728,16414,6818,241,131,23604
2152,2021-07-19,74.65,934067,359632,849833,1424268,3567800,19054,5719,273,119,25165
2153,2021-07-20,74.37,847074,323120,892751,1416705,3479650,19108,5560,252,124,25044
2154,2021-07-21,74.015,747643,510886,1081485,1318242,3658256,15568,9457,217,159,25401
2155,2021-07-22,73.7,701946,460421,986667,1228192,3377226,16221,9159,225,147,25752
2156,2021-07-23,73.76,716146,491979,1050724,1274891,3533740,16257,9215,218,158,25848
2157,2021-07-26,73.65,788692,395373,1011634,1404953,3600652,17690,7162,227,148,25227
2158,2021-07-27,73.7325,744110,431259,995745,1308596,3479710,16879,7712,226,148,24965
2159,2021-07-28,73.4775,724997,354825,933942,1304114,3317878,16918,7467,233,157,24775
2160,2021-07-29,73.1525,800685,427431,944175,1317429,3489720,17568,8688,221,172,26649
2161,2021-07-30,73.16,822824,370551,868371,1320644,3382390,17505,7008,230,149,24892
2162,2021-08-02,73.0575,846987,426305,904900,1325582,3503774,18042,8087,227,153,26509
2163,2021-08-03,72.94,880363,293007,859279,1446635,3479284,18265,6647,256,129,25297
2164,2021-08-04,73.17,918508,301132,887229,1504605,3611474,19368,5732,270,127,25497
2165,2021-08-05,73.07,845138,315980,936327,1465485,3562930,18233,6327,253,133,24946
2166,2021-08-06,73.49,945722,310061,923203,1558864,3737850,20242,5178,277,115,25812
2167,2021-08-09,73.665,888410,320537,904195,1472068,3585210,20991,5065,278,117,26451
2168,2021-08-10,73.9175,883990,315075,879868,1448783,3527716,21045,4389,278,113,25825
2169,2021-08-11,73.365,797296,295670,908408,1410034,3411408,19894,4478,262,137,24771
2170,2021-08-12,73.5925,751909,341969,947561,1357501,3398940,17757,6498,241,147,24643
2171,2021-08-13,73.21,809804,395490,977333,1391647,3574274,17922,8323,226,162,26633
2172,2021-08-16,73.2375,798296,382481,942014,1357829,3480620,18109,8101,230,153,26593
2173,2021-08-17,73.57,893845,305433,823457,1411869,3434604,21249,4683,258,130,26320
2174,2021-08-18,73.82,974556,327200,792164,1439520,3533440,21765,4144,282,114,26305
2175,2021-08-19,74.2,946495,355988,766203,1356710,3425396,20458,5001,264,125,25848
2176,2021-08-20,74.26,876349,365857,757261,1267753,3267220,19299,5242,255,126,24922
2177,2021-08-23,74.1225,743171,380339,776670,1139502,3039682,17426,5891,227,145,23689
2178,2021-08-24,73.73,688174,480512,849031,1056693,3074410,15386,8904,211,169,24670
2179,2021-08-25,73.9325,700741,374543,781381,1107579,2964244,16392,6207,233,144,22976
2180,2021-08-26,74.23,846445,322678,704459,1228226,3101808,19411,4406,261,121,24199
2181,2021-08-27,73.53,775120,412798,794380,1156702,3139000,16417,7557,231,162,24367
2182,2021-08-30,73.5,767363,422350,825310,1170323,3185346,16905,7801,217,158,25081
2183,2021-08-31,73.2175,825462,414242,852230,1263450,3355384,18062,7874,217,162,26315
2184,2021-09-01,72.98,871615,428584,908520,1351551,3560270,18294,8120,225,163,26802
2185,2021-09-02,72.87,907674,422055,870815,1356434,3556978,19000,7932,230,166,27328
2186,2021-09-03,72.7225,933244,422851,889387,1399780,3645262,19422,7741,237,160,27560
2187,2021-09-06,72.99,977512,296324,777416,1458604,3509856,22132,4843,256,128,27359
2188,2021-09-07,73.2725,1038981,272300,737373,1504054,3552708,23133,3466,276,120,26995
2189,2021-09-08,73.1475,876645,294228,809117,1391534,3371524,20084,4060,255,143,24542
2190,2021-09-09,72.975,851274,448320,898481,1301435,3499510,18432,7749,228,175,26584
2191,2021-09-10,73.175,882605,327634,741022,1295993,3247254,18854,5277,248,134,24513
2192,2021-09-13,72.655,938966,451884,774497,1261579,3426926,18919,7687,231,175,27012
2193,2021-09-14,72.9,877959,329693,720330,1268596,3196578,18101,6228,229,161,24719
2194,2021-09-15,72.275,929176,424856,888599,1392919,3635550,18310,7444,226,173,26153
2195,2021-09-16,72.5,725530,271197,552794,1007127,2556648,15253,5751,202,136,21342
2196,2021-09-17,72.8525,815543,251997,560590,1124136,2752266,18044,4055,221,119,22439
2197,2021-09-20,73.425,818187,269884,567589,1115892,2771552,19342,3793,242,114,23491
2198,2021-09-21,73.085,776062,236486,534573,1074149,2621270,17796,4068,217,133,22214
2199,2021-09-22,72.9725,776698,341002,609481,1045177,2772358,16981,7608,200,155,24944
